BBL,Year,Zip,count,Zop
1001430025,21,10013,6,10013
1001437501,21,10013,3,10013
1001437502,21,10013,1,10013
1001440013,21,10013,2,10013
1001440030,21,10013,2,10013
1001440032,21,10013,1,10013
1001447501,18,10013,1,10013
1001447503,21,10013,1,10013
1001450010,21,10013,2,10013
1001450012,21,10007,1,10007
1001450015,10,10013,1,10013
1001450015,16,10013,1,10013
1001450016,12,10013,1,10013
1001450016,16,10013,1,10013
1001450016,17,10013,1,10013
1001450016,21,10013,9,10013
1001450018,21,10013,2,10013
1001450025,15,10013,5,10013
1001457502,17,10013,1,10013
1001457503,21,10013,2,10013
1001457504,21,10013,14,10013
1001470002,21,10013,1,10013
1001470011,13,10013,1,10013
1001470012,21,10013,1,10013
1001470013,14,10013,1,10013
1001477501,14,10013,1,10013
1001477504,12,10013,1,10013
1001477504,19,10013,1,10013
1001477506,21,10013,1,10013
1001477509,12,10013,1,10013
1001477509,13,10013,1,10013
1001477509,21,10013,1,10013
1001480015,19,10013,1,10013
1001490003,10,10007,1,10007
1001490003,11,10007,1,10007
1001490003,13,10007,1,10007
1001490003,19,10007,1,10007
1001490005,13,10007,1,10007
1001490005,19,10007,1,10007
1001490006,12,10007,1,10007
1001490006,17,10007,3,10007
1001490006,19,10007,4,10007
1001490007,10,10007,1,10007
1001490007,12,10007,3,10007
1001490012,21,10007,2,10007
1001490014,14,10007,1,10007
1001490014,21,10007,1,10007
1001490029,11,10007,1,10007
1001490029,13,10007,1,10007
1001490029,14,10007,8,10007
1001490029,19,10007,2,10007
1001490031,12,10007,1,10007
1001497501,12,10007,1,10007
1001497501,19,10007,1,10007
1001497502,13,10007,2,10007
1001497502,14,10007,3,10007
1001497502,15,10007,1,10007
1001497502,19,10007,1,10007
1001497503,12,10007,2,10007
1001497503,14,10007,1,10007
1001500006,13,10007,2,10007
1001500012,21,10007,1,10007
1001510010,11,10007,1,10007
1001520025,15,10007,1,10007
1001520025,16,10007,1,10007
1001520031,12,10007,1,10007
1001530001,17,10007,2,10007
1001530001,18,10007,5,10007
1001530001,21,10007,1,10007
1001530018,17,10007,2,10007
1001531002,11,10007,1,10007
1001531002,12,10007,1,10007
1001540001,11,10007,1,10007
1001540001,20,10007,1,10007
1001550001,10,10007,1,10007
1001550001,12,10007,1,10007
1001550001,14,10007,1,10007
1001550001,15,10007,1,10007
1001550003,14,10007,1,10007
1001550003,15,10007,4,10007
1001560001,15,10007,1,10007
1001560050,11,10007,1,10007
1001590040,17,10007,1,10007
1001590040,21,10007,1,10007
1001600021,10,10007,2,10007
1001600021,12,10007,1,10007
1001600021,15,10007,1,10007
1001620006,20,10013,1,10013
1001620018,21,10013,1,10013
1001620026,20,10013,1,10013
1001620030,19,10013,1,10013
1001620033,21,10013,1,10013
1001620035,10,10038,4,10038
1001620035,11,10038,3,10038
1001620035,12,10038,1,10038
1001620044,21,10013,1,10013
1001620047,21,10013,3,10013
1001620049,21,10013,1,10013
1001620051,21,10013,1,10013
1001620057,12,10013,1,10013
1001620133,15,10013,1,10013
1001630002,21,10013,1,10013
1001630005,21,10013,1,10013
1001630011,20,10013,2,10013
1001630018,12,10013,1,10013
1001630018,18,10013,1,10013
1001630021,15,10013,1,10013
1001630021,17,10013,1,10013
1001630021,18,10013,1,10013
1001630022,18,10013,1,10013
1001630022,19,10013,2,10013
1001630025,10,10013,1,10013
1001630025,14,10013,4,10013
1001640007,18,10013,1,10013
1001640009,10,10013,1,10013
1001640013,11,10013,1,10013
1001640013,12,10013,1,10013
1001640013,13,10013,1,10013
1001640013,19,10013,2,10013
1001640016,14,10013,1,10013
1001640016,20,10013,3,10013
1001640016,21,10013,1,10013
1001640019,19,10013,1,10013
1001640021,19,10013,1,10013
1001640026,15,10013,1,10013
1001640026,20,10013,3,10013
1001640028,15,10013,1,10013
