"BBL","Borough","Incident Zip","Year","count"
5001190104,"STATEN ISLAND",10301,"16",1
5001190146,"STATEN ISLAND",10301,"20",1
5001200105,"STATEN ISLAND",10301,"21",1
5001210039,"STATEN ISLAND",10301,"18",1
5001250001,"STATEN ISLAND",10301,"19",1
5001250052,"STATEN ISLAND",10301,"14",1
5001260010,"STATEN ISLAND",10301,"20",1
5001260012,"STATEN ISLAND",10301,"21",1
5001270008,"STATEN ISLAND",10301,"17",1
5001270059,"STATEN ISLAND",10301,"14",1
5001270071,"STATEN ISLAND",10301,"14",1
5001270071,"STATEN ISLAND",10301,"18",3
5001270071,"STATEN ISLAND",10301,"19",4
5001270071,"STATEN ISLAND",10301,"20",4
5001270071,"STATEN ISLAND",10301,"21",8
5001280026,"STATEN ISLAND",10301,"20",1
5001280044,"STATEN ISLAND",10301,"21",2
5001290008,"STATEN ISLAND",10301,"20",1
5001290008,"STATEN ISLAND",10301,"21",6
5001310024,"STATEN ISLAND",10301,"18",1
5001310024,"STATEN ISLAND",10301,"21",1
5001310225,"STATEN ISLAND",10301,"17",2
5001320077,"STATEN ISLAND",10301,"14",1
5001320159,"STATEN ISLAND",10301,"19",1
5001320278,"STATEN ISLAND",10301,"21",1
5001320397,"STATEN ISLAND",10301,"20",1
5001350023,"STATEN ISLAND",10301,"19",1
5001390014,"STATEN ISLAND",10310,"20",1
5001390077,"STATEN ISLAND",10310,"20",1
5001390078,"STATEN ISLAND",10310,"20",1
5001390104,"STATEN ISLAND",10310,"20",1
5001430060,"STATEN ISLAND",10310,"14",1
5001440077,"STATEN ISLAND",10310,"20",1
5001490149,"STATEN ISLAND",10310,"15",1
5001490174,"STATEN ISLAND",10310,"19",1
5001490183,"STATEN ISLAND",10310,"16",1
5001490183,"STATEN ISLAND",10310,"18",1
5001490183,"STATEN ISLAND",10310,"20",1
5001490266,"STATEN ISLAND",10310,"16",1
5001490273,"STATEN ISLAND",10310,"19",3
5001490338,"STATEN ISLAND",10310,"16",1
5001490486,"STATEN ISLAND",10310,"16",1
5001500098,"STATEN ISLAND",10310,"20",1
5001500216,"STATEN ISLAND",10310,"21",1
5001500279,"STATEN ISLAND",10310,"19",1
5001500281,"STATEN ISLAND",10310,"21",1
5001500303,"STATEN ISLAND",10310,"20",1
5001500332,"STATEN ISLAND",10310,"20",1
5001500339,"STATEN ISLAND",10310,"20",1
5001510021,"STATEN ISLAND",10310,"20",6
5001510046,"STATEN ISLAND",10310,"19",1
5001510098,"STATEN ISLAND",10310,"21",2
5001520001,"STATEN ISLAND",10310,"20",1
5001520068,"STATEN ISLAND",10310,"21",1
5001520101,"STATEN ISLAND",10310,"16",1
5001520101,"STATEN ISLAND",10310,"18",1
5001540003,"STATEN ISLAND",10310,"16",2
5001540073,"STATEN ISLAND",10310,"21",1
5001560048,"STATEN ISLAND",10310,"18",1
5001570009,"STATEN ISLAND",10310,"19",1
5001570143,"STATEN ISLAND",10310,"21",1
5001570184,"STATEN ISLAND",10310,"18",1
5001570187,"STATEN ISLAND",10310,"18",1
5001580046,"STATEN ISLAND",10310,"19",1
5001580049,"STATEN ISLAND",10310,"20",1
5001580063,"STATEN ISLAND",10310,"19",1
5001580078,"STATEN ISLAND",10310,"20",1
5001580081,"STATEN ISLAND",10310,"19",1
5001580105,"STATEN ISLAND",10310,"17",1
5001580173,"STATEN ISLAND",10310,"19",2
5001580173,"STATEN ISLAND",10310,"20",4
5001580173,"STATEN ISLAND",10310,"21",1
5001590090,"STATEN ISLAND",10310,"20",1
5001590097,"STATEN ISLAND",10310,"20",1
5001590105,"STATEN ISLAND",10310,"21",1
5001600104,"STATEN ISLAND",10310,"21",1
5001610097,"STATEN ISLAND",10310,"16",1
5001610111,"STATEN ISLAND",10310,"15",1
5001610111,"STATEN ISLAND",10310,"17",1
5001610113,"STATEN ISLAND",10310,"17",1
5001620049,"STATEN ISLAND",10310,"21",1
5001630049,"STATEN ISLAND",10310,"21",1
5001630058,"STATEN ISLAND",10310,"20",1
5001630067,"STATEN ISLAND",10310,"21",1
5001640101,"STATEN ISLAND",10310,"20",2
5001640101,"STATEN ISLAND",10310,"21",4
5001650064,"STATEN ISLAND",10310,"18",1
5001650144,"STATEN ISLAND",10310,"15",1
5001650144,"STATEN ISLAND",10310,"19",1
5001680046,"STATEN ISLAND",10310,"16",1
5001690001,"STATEN ISLAND",10310,"16",1
5001690001,"STATEN ISLAND",10310,"17",10
5001690001,"STATEN ISLAND",10310,"18",4
5001690001,"STATEN ISLAND",10310,"19",4
5001690001,"STATEN ISLAND",10310,"21",1
5001690022,"STATEN ISLAND",10310,"17",1
5001730020,"STATEN ISLAND",10310,"17",1
5001730034,"STATEN ISLAND",10310,"16",1
5001730046,"STATEN ISLAND",10310,"19",1
5001740001,"STATEN ISLAND",10310,"19",1
5001750054,"STATEN ISLAND",10310,"15",1
5001750069,"STATEN ISLAND",10310,"14",1
5001750081,"STATEN ISLAND",10310,"17",1
5001750086,"STATEN ISLAND",10310,"20",1
5001750086,"STATEN ISLAND",10310,"21",2
5001750091,"STATEN ISLAND",10310,"15",1
5001770100,"STATEN ISLAND",10310,"17",1
5001780099,"STATEN ISLAND",10310,"18",1
5001790023,"STATEN ISLAND",10310,"16",1
5001790059,"STATEN ISLAND",10310,"18",1
5001790062,"STATEN ISLAND",10310,"15",1
5001800021,"STATEN ISLAND",10310,"16",1
5001820062,"STATEN ISLAND",10310,"14",1
5001820062,"STATEN ISLAND",10310,"15",1
5001830001,"STATEN ISLAND",10310,"19",1
5001870011,"STATEN ISLAND",10310,"19",1
5001870029,"STATEN ISLAND",10310,"17",1
5001870033,"STATEN ISLAND",10310,"21",1
5001870035,"STATEN ISLAND",10310,"21",1
5001870126,"STATEN ISLAND",10310,"15",1
5001870127,"STATEN ISLAND",10310,"17",1
5001870127,"STATEN ISLAND",10310,"21",1
5001880040,"STATEN ISLAND",10310,"17",3
5001880040,"STATEN ISLAND",10310,"18",1
5001940044,"STATEN ISLAND",10302,"20",1
5001940048,"STATEN ISLAND",10302,"20",3
5001960024,"STATEN ISLAND",10310,"15",1
5001960024,"STATEN ISLAND",10310,"16",2
5001960024,"STATEN ISLAND",10310,"19",1
5001960031,"STATEN ISLAND",10310,"20",1
5001970007,"STATEN ISLAND",10310,"16",1
5001970022,"STATEN ISLAND",10310,"19",1
5001970026,"STATEN ISLAND",10310,"17",4
5001970027,"STATEN ISLAND",10310,"17",2
5001970027,"STATEN ISLAND",10310,"19",1
5001970032,"STATEN ISLAND",10310,"16",1
5001970058,"STATEN ISLAND",10310,"18",1
5001970068,"STATEN ISLAND",10310,"14",1
5001970099,"STATEN ISLAND",10310,"17",1
5001970100,"STATEN ISLAND",10310,"14",1
5001970133,"STATEN ISLAND",10310,"15",1
5001980045,"STATEN ISLAND",10310,"19",1
5001980070,"STATEN ISLAND",10310,"14",1
5001980079,"STATEN ISLAND",10310,"19",2
5001980079,"STATEN ISLAND",10310,"21",1
5001980082,"STATEN ISLAND",10310,"18",1
5001980095,"STATEN ISLAND",10310,"18",1
5001980097,"STATEN ISLAND",10310,"18",1
5001980097,"STATEN ISLAND",10310,"19",1
5001980097,"STATEN ISLAND",10310,"21",1
5001980113,"STATEN ISLAND",10310,"16",1
5001980116,"STATEN ISLAND",10310,"20",1
5001980148,"STATEN ISLAND",10310,"21",1
5001980217,"STATEN ISLAND",10310,"17",1
5001990036,"STATEN ISLAND",10310,"18",1
5001990036,"STATEN ISLAND",10310,"21",1
5001990039,"STATEN ISLAND",10310,"18",3
5001990039,"STATEN ISLAND",10310,"21",2
