Neighborhood,Zip,Population,Land Area sq. meter
SOUTHEAST QUEENS,11426,"20,222","3,493,970"
SOUTHEAST QUEENS,11427,"25,096","4,082,590"
SOUTHEAST QUEENS,11428,"19,830","2,156,480"
SOUTHEAST QUEENS,11429,"27,808","3,369,770"
SOUTHWEST QUEENS,11414,"27,672","5,956,110"
SOUTHWEST QUEENS,11415,"18,464","1,471,500"
SOUTHWEST QUEENS,11416,"26,087","1,724,070"
SOUTHWEST QUEENS,11417,"31,156","2,898,290"
SOUTHWEST QUEENS,11418,"37,666","4,229,580"
SOUTHWEST QUEENS,11419,"47,955","2,924,900"
SOUTHWEST QUEENS,11420,"47,266","5,382,010"
SOUTHWEST QUEENS,11421,"39,654","3,336,080"
WEST QUEENS,11368,"108,661","6,816,710"
WEST QUEENS,11369,"30,693","2,765,090"
WEST QUEENS,11370,"29,366","3,684,370"
WEST QUEENS,11372,"63,107","1,909,990"
WEST QUEENS,11373,"96,495","3,956,010"
WEST QUEENS,11377,"82,021","6,595,690"
WEST QUEENS,11378,"39,033","6,614,590"
PORT RICHMOND,10302,"17,942","3,093,430"
PORT RICHMOND,10303,"27,164","8,125,460"
PORT RICHMOND,10310,"24,168","4,650,150"
SOUTH SHORE,10306,"54,318","19,355,200"
SOUTH SHORE,10307,"15,053","5,082,130"
SOUTH SHORE,10308,"28,901","5,110,510"
SOUTH SHORE,10309,"33,896","17,402,200"
SOUTH SHORE,10312,"61,114","19,887,900"
STAPLETON AND ST. GEORGE,10301,"38,001","9,476,760"
STAPLETON AND ST. GEORGE,10304,"42,133","10,035,700"
STAPLETON AND ST. GEORGE,10305,"42,968","11,012,000"
MID ISLAND,10314,"89,938","35,520,700"
