Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
55824MM,NY,COM,8580190990,07/11/2022,10:43A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOUkdzMVRVRTlQUT09&locationName=_____________________)
87077NC,NY,COM,8800308739,07/11/2022,10:07A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwMUVUWGRQUkdONlQxRTlQUT09&locationName=_____________________)
LWG4154,PA,PAS,8823232624,07/11/2022,12:33P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMTZTWHBOYWxsNVRrRTlQUT09&locationName=_____________________)
HFV5242,NY,PAS,8827084435,07/11/2022,11:34A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,075,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVNTZRVFJPUkZGNlRsRTlQUT09&locationName=_____________________)
KWR1902,NY,PAS,8872944351,07/11/2022,12:05P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMXFhekJPUkUweFRWRTlQUT09&locationName=_____________________)
KHA5169,NY,PAS,8884278582,07/11/2022,05:30A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNUVTVE5QUkZVMFRXYzlQUT09&locationName=_____________________)
HLD4459,NY,PAS,8888693518,07/11/2022,08:34A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FOUVXVFZOZWxWNFQwRTlQUT09&locationName=_____________________)
JKF3378,NY,PAS,8905337120,07/11/2022,08:08A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNVVUWHBPZWtWNVRVRTlQUT09&locationName=_____________________)
97354,NY,MED,8916610187,07/11/2022,08:14A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNXFXWGhOUkVVMFRuYzlQUT09&locationName=_____________________)
P77NRK,NJ,PAS,8948747447,07/11/2022,01:37P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,020,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOUVZekJPZWxFd1RuYzlQUT09&locationName=_____________________)
KNF4456,NY,PAS,8957491946,07/11/2022,02:59P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNTZVVFZOVkdzd1RtYzlQUT09&locationName=_____________________)
77111MN,NY,COM,8958074887,07/11/2022,12:24P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,049,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOUVRVE5PUkdjMFRuYzlQUT09&locationName=_____________________)
KUH9258,NY,OMS,8969602148,07/11/2022,07:13A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVXWGROYWtVd1QwRTlQUT09&locationName=_____________________)
KXB4844,NY,PAS,8979926868,07/11/2022,12:55P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOVVhM2xPYW1jeVQwRTlQUT09&locationName=_____________________)
FRP6002,NY,PAS,8979926893,07/11/2022,01:29P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOVVhM2xPYW1jMVRYYzlQUT09&locationName=_____________________)
ZTL42F,NJ,PAS,8982620291,07/11/2022,10:56A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFXWGxOUkVrMVRWRTlQUT09&locationName=_____________________)
KLM4160,NY,PAS,8982620370,07/11/2022,12:55P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFXWGxOUkUwelRVRTlQUT09&locationName=_____________________)
JCF2290,NY,PAS,8985926330,07/11/2022,02:03P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNVVhM2xPYWsxNlRVRTlQUT09&locationName=_____________________)
KLD5167,NY,PAS,8990384060,07/11/2022,02:08P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMUVUVFJPUkVFeVRVRTlQUT09&locationName=_____________________)
JGS7951,NY,PAS,8990384151,07/11/2022,03:06P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMUVUVFJPUkVVeFRWRTlQUT09&locationName=_____________________)
HVY8438,NY,PAS,8992949625,07/11/2022,03:21P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,083,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFhekJQVkZsNVRsRTlQUT09&locationName=_____________________)
1WFL83,MA,999,8993752345,07/11/2022,06:24A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,104,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMTZZekZOYWswd1RsRTlQUT09&locationName=_____________________)
32235MN,NY,COM,8995251323,07/11/2022,08:13A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,024,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVTVEZOVkUxNVRYYzlQUT09&locationName=_____________________)
JNF3700,NY,PAS,8995251414,07/11/2022,09:11A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,024,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVTVEZOVkZGNFRrRTlQUT09&locationName=_____________________)
JHL1517,NY,PAS,8995576674,07/11/2022,01:01P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,023,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVWVE5PYWxrelRrRTlQUT09&locationName=_____________________)
KTN8505,NY,PAS,8995744406,07/11/2022,06:28A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVZekJPUkZGM1RtYzlQUT09&locationName=_____________________)
KPZ6843,NY,PAS,8995744698,07/11/2022,01:04P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVZekJPUkZrMVQwRTlQUT09&locationName=_____________________)
5728YB,ME,PAS,8995748540,07/11/2022,09:10A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVZekJQUkZVd1RVRTlQUT09&locationName=_____________________)
20247ML,NY,COM,8995793314,07/11/2022,10:16A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVZelZOZWsxNFRrRTlQUT09&locationName=_____________________)
T734962C,NY,OMT,8995793697,07/11/2022,05:13P,FIRE HYDRANT,,115.00,0.00,0.00,115.00,0.00,0.00,024,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVZelZOZWxrMVRuYzlQUT09&locationName=_____________________)
84264MN,NY,COM,8937624035,07/11/2022,03:11P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNTZXWGxPUkVGNlRsRTlQUT09&locationName=_____________________)
HMV9627,NY,PAS,8938270040,07/11/2022,06:51P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,010,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrOUVTVE5OUkVFd1RVRTlQUT09&locationName=_____________________)
JFT8216,OH,PAS,8860224287,07/11/2022,09:25A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,094,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rMUVTWGxPUkVrMFRuYzlQUT09&locationName=_____________________)
GGV2464,NY,PAS,8891488859,07/11/2022,06:45A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,030,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMVVVVFJQUkdjeFQxRTlQUT09&locationName=_____________________)
KWR8387,NY,PAS,9000026416,07/11/2022,12:44P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,033,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVRWGxPYWxGNFRtYzlQUT09&locationName=_____________________)
DAZ8269,NY,PAS,9000110932,07/11/2022,06:55A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,101,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVSWGhOUkd0NlRXYzlQUT09&locationName=_____________________)
24122ML,NY,COM,9000116375,07/11/2022,07:37A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,112,Q,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVSWGhPYWswelRsRTlQUT09&locationName=_____________________)
KHY4245,NY,PAS,9000295981,07/11/2022,10:58A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,071,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVTVFZPVkdzMFRWRTlQUT09&locationName=_____________________)
EMC2266,NY,PAS,9000376087,07/11/2022,11:38A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVUVE5PYWtFMFRuYzlQUT09&locationName=_____________________)
HPU4458,NY,PAS,9000481119,07/11/2022,06:29A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVVVFJOVkVWNFQxRTlQUT09&locationName=_____________________)
JPM8564,PA,PAS,9000481235,07/11/2022,09:14A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,072,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVVVFJOVkVsNlRsRTlQUT09&locationName=_____________________)
N72NCT,NJ,PAS,9000485575,07/11/2022,05:46A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,068,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVVVFJPVkZVelRsRTlQUT09&locationName=_____________________)
JEH5045,NY,PAS,9000485915,07/11/2022,12:56P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVVVFJPVkd0NFRsRTlQUT09&locationName=_____________________)
MAMAJAZ,NY,SRF,9000711964,07/11/2022,08:22P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVZM2hOVkdzeVRrRTlQUT09&locationName=_____________________)
JCM3260,NY,PAS,9000875160,07/11/2022,02:48P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,121,R,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVaek5PVkVVeVRVRTlQUT09&locationName=_____________________)
HDT5587,NY,PAS,9001415064,07/11/2022,05:59A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,075,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVVWGhPVkVFeVRrRTlQUT09&locationName=_____________________)
EMA2688,NY,PAS,8977657556,07/11/2022,02:55P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNTZXVEZPZWxVeFRtYzlQUT09&locationName=_____________________)
H64PGD,NJ,PAS,9000043347,07/11/2022,06:57A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,044,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVRVEJOZWswd1RuYzlQUT09&locationName=_____________________)
HFA3029,NY,PAS,9000652789,07/11/2022,08:31A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,062,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVXVEZOYW1NMFQxRTlQUT09&locationName=_____________________)
GJFP87,FL,PAS,9000652844,07/11/2022,09:33A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,062,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVXVEZOYW1jd1RrRTlQUT09&locationName=_____________________)
FZT6041,NY,PAS,8894091144,07/11/2022,06:04A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,105,Q,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNUVRVFZOVkVVd1RrRTlQUT09&locationName=_____________________)
KFZ2798,NY,PAS,8933447313,07/11/2022,05:03P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,078,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrMTZVVEJPZWsxNFRYYzlQUT09&locationName=_____________________)
68389MM,NY,COM,8879197230,07/11/2022,11:22A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOVVSVFZPZWtsNlRVRTlQUT09&locationName=_____________________)
HWK1492,NY,PAS,8907348662,07/11/2022,06:42A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,032,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNTZUVEJQUkZreVRXYzlQUT09&locationName=_____________________)
KXG6766,NY,PAS,8972384872,07/11/2022,06:10A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdjelRXYzlQUT09&locationName=_____________________)
LMS9568,PA,PAS,8972385037,07/11/2022,07:50A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPVkVGNlRuYzlQUT09&locationName=_____________________)
HVC6708,NY,PAS,8988132191,07/11/2022,01:06P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,088,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOUVSWHBOYWtVMVRWRTlQUT09&locationName=_____________________)
KHA3677,NY,PAS,9000496100,07/11/2022,06:29A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,079,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMUVVVFZPYWtWM1RVRTlQUT09&locationName=_____________________)
KHN5939,NY,PAS,9001046022,07/11/2022,06:42A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,049,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVRVEJPYWtGNVRXYzlQUT09&locationName=_____________________)
JMP6192,NY,PAS,8893658940,07/11/2022,11:02P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,005,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMTZXVEZQUkdzd1RVRTlQUT09&locationName=_____________________)
FZK6443,NY,PAS,8990897427,07/11/2022,01:54P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,088,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMUVaelZPZWxGNVRuYzlQUT09&locationName=_____________________)
KTL4033,NY,PAS,2006717595,07/11/2022,08:02A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,Kings,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwNXFZM2hPZWxVMVRsRTlQUT09&locationName=_____________________)
H15192,NY,PAS,2006717601,07/11/2022,08:05A,FIRE HYDRANT,,115.00,0.00,0.00,115.00,0.00,0.00,066,Kings,DEPARTMENT OF SANITATION,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwNXFZM2hPZWxsM1RWRTlQUT09&locationName=_____________________)
HHV1948,NY,PAS,8882494664,07/11/2022,02:14P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMXFVVFZPUkZreVRrRTlQUT09&locationName=_____________________)
KKG5238,NY,PAS,2006428950,07/11/2022,08:38A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,102,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwNXFVWGxQUkdzeFRVRTlQUT09&locationName=_____________________)
ZLF4833,PA,PAS,8714840984,07/11/2022,01:32P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,073,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFNUVaekJOUkdzMFRrRTlQUT09&locationName=_____________________)
29165ML,NY,COM,8896593621,07/11/2022,01:21P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,114,Q,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNXFWVFZOZWxsNVRWRTlQUT09&locationName=_____________________)
FBC1947,NY,PAS,8584923329,07/11/2022,01:22P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVhM2xOZWsxNVQxRTlQUT09&locationName=_____________________)
T664895C,NY,OMT,8731470713,07/11/2022,09:59A,FIRE HYDRANT,,115.00,0.00,0.00,115.00,0.00,0.00,102,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrMVVVVE5OUkdONFRYYzlQUT09&locationName=_____________________)
97BYNJ,FL,PAS,8784198588,07/11/2022,05:43A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FNUVSVFZQUkZVMFQwRTlQUT09&locationName=_____________________)
L1NSANE,NY,SRF,8800308594,07/11/2022,08:15A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwMUVUWGRQUkZVMVRrRTlQUT09&locationName=_____________________)
KFP1282,NY,PAS,8823140341,07/11/2022,01:04P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,020,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMTZSVEJOUkUwd1RWRTlQUT09&locationName=_____________________)
USD1230,VA,PAS,8823991572,07/11/2022,08:45A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,006,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMTZhelZOVkZVelRXYzlQUT09&locationName=_____________________)
KWU7802,NY,PAS,8827831290,07/11/2022,06:53A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVNTZaM3BOVkVrMVRVRTlQUT09&locationName=_____________________)
KUW4825,NY,PAS,8878022664,07/11/2022,07:58A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,110,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOUVRWGxOYWxreVRrRTlQUT09&locationName=_____________________)
KWU7884,NY,PAS,8887334109,07/11/2022,02:01P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNTZUWHBPUkVWM1QxRTlQUT09&locationName=_____________________)
GFL8615,NY,PAS,8887590874,07/11/2022,07:45A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNTZWVFZOUkdjelRrRTlQUT09&locationName=_____________________)
JKG1951,NY,PAS,8893881056,07/11/2022,06:39A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,110,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMTZaelJOVkVFeFRtYzlQUT09&locationName=_____________________)
DZD9015,NY,PAS,8902728754,07/11/2022,06:29P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,084,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMXFZM2xQUkdNeFRrRTlQUT09&locationName=_____________________)
S86RDZ,NJ,PAS,8933682430,07/11/2022,08:40P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,110,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrMTZXVFJOYWxGNlRVRTlQUT09&locationName=_____________________)
91729MC,NY,COM,8958074991,07/11/2022,02:52P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,047,BX,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOUVRVE5PUkdzMVRWRTlQUT09&locationName=_____________________)
00LCBU,CT,999,8798739025,07/11/2022,08:42P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VOUVZM3BQVkVGNVRsRTlQUT09&locationName=_____________________)
9ED3806,MD,PAS,8896447598,07/11/2022,10:30A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNXFVVEJPZWxVMVQwRTlQUT09&locationName=_____________________)
JMM4084,NY,PAS,8900498022,07/11/2022,02:15P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,084,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMUVVVFZQUkVGNVRXYzlQUT09&locationName=_____________________)
GFR2115,NY,PAS,8995679189,07/11/2022,11:10P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVXVE5QVkVVMFQxRTlQUT09&locationName=_____________________)
KEP2038,NY,PAS,8972384823,07/11/2022,05:56A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdkNVRYYzlQUT09&locationName=_____________________)
