Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
G39NVZ,NJ,PAS,8972384835,07/11/2022,05:58A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdkNlRsRTlQUT09&locationName=_____________________)
69BYEZ,FL,PAS,8972384847,07/11/2022,06:05A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdjd1RuYzlQUT09&locationName=_____________________)
JFC4860,NY,PAS,8972384859,07/11/2022,06:06A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdjeFQxRTlQUT09&locationName=_____________________)
KJA8797,NY,PAS,8972384860,07/11/2022,06:07A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdjeVRVRTlQUT09&locationName=_____________________)
HDW9297,NY,PAS,8972384884,07/11/2022,06:11A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdjMFRrRTlQUT09&locationName=_____________________)
A71PHE,NJ,PAS,8972384896,07/11/2022,06:13A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdjMVRtYzlQUT09&locationName=_____________________)
HXZ5819,NY,PAS,8972384902,07/11/2022,06:17A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkd0M1RXYzlQUT09&locationName=_____________________)
KWW6113,NY,PAS,8972384914,07/11/2022,06:22A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkd0NFRrRTlQUT09&locationName=_____________________)
75139,CT,999,8972384938,07/11/2022,06:28A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkd0NlQwRTlQUT09&locationName=_____________________)
SJ00810,WA,PAS,8972384940,07/11/2022,06:32A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdzd1RVRTlQUT09&locationName=_____________________)
T102504C,NY,OMT,8972384951,07/11/2022,06:34A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdzeFRWRTlQUT09&locationName=_____________________)
P61EGD,NJ,PAS,8972384963,07/11/2022,06:40A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMXFUVFJPUkdzeVRYYzlQUT09&locationName=_____________________)
