"BBL","Borough","Incident Zip","Year","count"
2028610135,"BRONX",10453,"14",1
2028610135,"BRONX",10453,"16",1
2028610135,"BRONX",10453,"17",1
2028610157,"BRONX",10453,"17",1
2028620001,"BRONX",10453,"16",1
2028620001,"BRONX",10453,"18",2
2028620008,"BRONX",10453,"16",3
2028620103,"BRONX",10453,"18",1
2028630008,"BRONX",10453,"15",1
2028630008,"BRONX",10453,"19",1
2028630014,"BRONX",10453,"14",2
2028630014,"BRONX",10453,"15",1
2028630014,"BRONX",10453,"17",2
2028630014,"BRONX",10453,"19",2
2028640069,"BRONX",10452,"15",1
2028640070,"BRONX",10452,"17",1
2028640073,"BRONX",10452,"15",1
2028640073,"BRONX",10452,"18",4
2028640073,"BRONX",10452,"20",2
2028640073,"BRONX",10452,"21",1
2028650103,"BRONX",10452,"17",2
2028650110,"BRONX",10452,"14",4
2028650110,"BRONX",10452,"15",2
2028650110,"BRONX",10452,"17",1
2028650126,"BRONX",10452,"15",1
2028650126,"BRONX",10452,"17",3
2028650126,"BRONX",10452,"18",1
2028650126,"BRONX",10452,"19",1
2028650126,"BRONX",10452,"20",1
2028650134,"BRONX",10452,"14",1
2028660009,"BRONX",10453,"14",1
2028660015,"BRONX",10453,"19",1
2028660020,"BRONX",10453,"14",1
2028660020,"BRONX",10453,"17",3
2028660020,"BRONX",10453,"18",1
2028660020,"BRONX",10453,"19",1
2028660020,"BRONX",10453,"20",3
2028660020,"BRONX",10453,"21",3
2028660080,"BRONX",10453,"15",1
2028660080,"BRONX",10453,"16",5
2028660080,"BRONX",10453,"18",1
2028660080,"BRONX",10453,"19",1
2028660086,"BRONX",10453,"16",1
2028660086,"BRONX",10453,"17",3
2028660086,"BRONX",10453,"18",2
2028660086,"BRONX",10453,"20",1
2028660086,"BRONX",10453,"21",3
2028660090,"BRONX",10453,"18",1
2028660110,"BRONX",10453,"18",1
2028660110,"BRONX",10453,"19",2
2028660208,"BRONX",10453,"14",1
2028660208,"BRONX",10453,"16",1
2028660208,"BRONX",10453,"21",1
2028670006,"BRONX",10453,"18",1
2028670022,"BRONX",10453,"21",1
2028670024,"BRONX",10453,"18",1
2028670030,"BRONX",10453,"14",1
2028670030,"BRONX",10453,"15",1
2028670030,"BRONX",10453,"18",1
2028670036,"BRONX",10453,"19",1
2028670039,"BRONX",10453,"16",1
2028670039,"BRONX",10453,"17",3
2028670039,"BRONX",10453,"19",1
2028670039,"BRONX",10453,"21",1
2028670046,"BRONX",10453,"18",1
2028670047,"BRONX",10453,"18",1
2028670058,"BRONX",10453,"18",1
2028670094,"BRONX",10453,"16",1
2028670094,"BRONX",10453,"17",3
2028670094,"BRONX",10453,"19",5
2028670094,"BRONX",10453,"20",2
2028670103,"BRONX",10453,"14",4
2028670103,"BRONX",10453,"15",2
2028670108,"BRONX",10453,"15",1
2028670108,"BRONX",10453,"20",6
2028670118,"BRONX",10453,"15",1
2028670118,"BRONX",10453,"16",2
2028670118,"BRONX",10453,"18",2
2028670125,"BRONX",10453,"21",2
2028670134,"BRONX",10453,"19",1
2028670134,"BRONX",10453,"21",1
2028670137,"BRONX",10453,"18",1
2028670139,"BRONX",10453,"14",1
2028670139,"BRONX",10453,"16",5
2028670139,"BRONX",10453,"17",5
2028670139,"BRONX",10453,"18",2
2028670139,"BRONX",10453,"19",2
2028670139,"BRONX",10453,"20",1
2028670139,"BRONX",10453,"21",1
2028670147,"BRONX",10453,"15",2
2028670147,"BRONX",10453,"16",4
2028670147,"BRONX",10453,"17",7
2028670147,"BRONX",10453,"20",1
2028670147,"BRONX",10453,"21",1
2028670151,"BRONX",10453,"15",5
2028670151,"BRONX",10453,"17",1
2028670151,"BRONX",10453,"18",1
2028670151,"BRONX",10453,"19",1
2028670151,"BRONX",10453,"21",5
2028680040,"BRONX",10453,"20",2
2028680044,"BRONX",10453,"15",2
2028680044,"BRONX",10453,"17",2
2028680045,"BRONX",10453,"18",1
2028680047,"BRONX",10453,"14",1
2028680049,"BRONX",10453,"14",1
2028680049,"BRONX",10453,"15",1
2028680049,"BRONX",10453,"20",1
2028680055,"BRONX",10453,"20",1
2028680076,"BRONX",10453,"21",1
2028680085,"BRONX",10453,"21",1
2028680098,"BRONX",10453,"17",1
2028680105,"BRONX",10453,"21",4
2028680119,"BRONX",10453,"15",1
2028680119,"BRONX",10453,"16",1
2028680119,"BRONX",10453,"19",2
2028680119,"BRONX",10453,"21",1
2028680121,"BRONX",10453,"20",1
2028680121,"BRONX",10453,"21",12
2028680123,"BRONX",10453,"14",1
2028680123,"BRONX",10453,"16",1
2028680123,"BRONX",10453,"17",2
2028680123,"BRONX",10453,"20",2
2028680123,"BRONX",10453,"21",2
2028680125,"BRONX",10453,"21",3
2028680127,"BRONX",10453,"16",5
2028680127,"BRONX",10453,"20",1
2028680129,"BRONX",10453,"19",2
2028680166,"BRONX",10453,"15",1
2028680272,"BRONX",10453,"15",1
2028680272,"BRONX",10453,"16",1
2028680272,"BRONX",10453,"19",1
2028690005,"BRONX",10453,"14",1
2028690005,"BRONX",10453,"19",1
2028690026,"BRONX",10453,"17",1
2028690027,"BRONX",10453,"21",1
2028690058,"BRONX",10453,"15",1
2028690058,"BRONX",10453,"20",1
2028690058,"BRONX",10453,"21",1
2028690141,"BRONX",10453,"18",1
2028690143,"BRONX",10453,"21",1
2028690163,"BRONX",10453,"21",1
2028690167,"BRONX",10453,"15",1
2028690167,"BRONX",10453,"17",3
2028690167,"BRONX",10453,"18",2
2028690171,"BRONX",10453,"20",1
2028700001,"BRONX",10453,"16",1
2028700001,"BRONX",10453,"17",4
