"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
16,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",21594.38085,130093,4349502,0.165991873890217,0.00496479386605639
17,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",22413.02409,131762,4349502,0.170102336713165,0.00515300926174997
18,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",22847.80374,131713,4349502,0.173466580671612,0.00525297005036439
19,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",22995.33582,135768,4349502,0.169372280802546,0.00528688935422952
20,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25857.68936,135314,4349502,0.191093969286253,0.00594497700196482
11,"BROOKLYN","GREENPOINT",72336.36364,124004,9900400,0.583338953904713,0.0073064081895681
12,"BROOKLYN","GREENPOINT",49140,124228,9900400,0.395562997069904,0.00496343582077492
13,"BROOKLYN","GREENPOINT",49680,127457,9900400,0.389778513537899,0.00501797907155266
14,"BROOKLYN","GREENPOINT",65695.45455,129261,9900400,0.508238792443196,0.00663563639347905
15,"BROOKLYN","GREENPOINT",58040.625,132935,9900400,0.436609057057961,0.00586245252717062
16,"BROOKLYN","GREENPOINT",47092,135659,9900400,0.347135096086511,0.00475657549189932
17,"BROOKLYN","GREENPOINT",63743.47826,138405,9900400,0.460557626241827,0.00643847503737223
18,"BROOKLYN","GREENPOINT",92605.55555,139116,9900400,0.665671493933121,0.00935371859217809
19,"BROOKLYN","GREENPOINT",77466.66667,139995,9900400,0.553353095967713,0.00782459967981092
20,"BROOKLYN","GREENPOINT",75828,141271,9900400,0.536755597397909,0.00765908448143509
11,"MANHATTAN","GREENWICH VILLAGE AND SOHO",26807.69231,81969,3642691,0.327046716563579,0.00735931000186401
12,"MANHATTAN","GREENWICH VILLAGE AND SOHO",28946.15385,81686,3642691,0.354358811179394,0.00794636543423529
13,"MANHATTAN","GREENWICH VILLAGE AND SOHO",50412.5,82807,3642691,0.608795150168464,0.0138393566734044
