"BBL","Borough","Incident Zip","Year","count"
4002000037,"QUEENS",11104,"14",1
4002000050,"QUEENS",11104,"15",1
4002000105,"QUEENS",11104,"15",2
4002010015,"QUEENS",11104,"19",1
4002010015,"QUEENS",11104,"20",1
4002010022,"QUEENS",11104,"19",1
4002010026,"QUEENS",11104,"21",1
4002010028,"QUEENS",11104,"21",1
4002010029,"QUEENS",11104,"21",2
4002020023,"QUEENS",11104,"17",1
4002020023,"QUEENS",11104,"21",1
4002020033,"QUEENS",11104,"18",1
4002020037,"QUEENS",11104,"19",1
4002050013,"QUEENS",11104,"16",1
4002050024,"QUEENS",11104,"18",1
4002080020,"QUEENS",11104,"21",1
4002090031,"QUEENS",11104,"19",1
4002100008,"QUEENS",11104,"21",1
4002100152,"QUEENS",11104,"19",1
4002120001,"QUEENS",11101,"20",1
4002120006,"QUEENS",11101,"18",1
4002120006,"QUEENS",11101,"20",1
4002120008,"QUEENS",11101,"20",3
4002120011,"QUEENS",11101,"20",1
4002120014,"QUEENS",11101,"21",1
4002120020,"QUEENS",11101,"21",1
4002120023,"QUEENS",11104,"21",1
4002120040,"QUEENS",11104,"20",1
4002140238,"QUEENS",11101,"16",1
4002220033,"QUEENS",11101,"19",2
4002240031,"QUEENS",11101,"17",1
4002270055,"QUEENS",11104,"15",1
4002280013,"QUEENS",11101,"21",1
4002300029,"QUEENS",11101,"18",1
4002310011,"QUEENS",11101,"21",1
4002310120,"QUEENS",11101,"18",1
4002320003,"QUEENS",11101,"21",1
4002320012,"QUEENS",11101,"21",1
4002320014,"QUEENS",11101,"20",1
4002320018,"QUEENS",11101,"21",5
4002320066,"QUEENS",11101,"21",1
4002320067,"QUEENS",11101,"21",1
4002320166,"QUEENS",11101,"21",1
4002340008,"QUEENS",11101,"20",1
4002340023,"QUEENS",11101,"20",1
4002360001,"QUEENS",11101,"14",1
4002360001,"QUEENS",11101,"20",1
4002360004,"QUEENS",11101,"20",1
4002360004,"QUEENS",11101,"21",1
4002360007,"QUEENS",11101,"21",1
4002360028,"QUEENS",11101,"20",1
4002360062,"QUEENS",11101,"20",1
4002360064,"QUEENS",11101,"21",2
4002360066,"QUEENS",11101,"21",2
4002360085,"QUEENS",11101,"17",1
4002360085,"QUEENS",11101,"20",1
4002360085,"QUEENS",11101,"21",1
4002430050,"QUEENS",11101,"15",1
4002440025,"QUEENS",11101,"21",1
4002480036,"QUEENS",11101,"15",1
4002480036,"QUEENS",11101,"17",1
4002500001,"QUEENS",11101,"15",1
4002650006,"QUEENS",11101,"21",4
4002660003,"QUEENS",11101,"21",2
4002750080,"QUEENS",11101,"14",1
4002940251,"QUEENS",11101,"19",1
4002950015,"QUEENS",11101,"19",1
4002970035,"QUEENS",11101,"15",2
4002980013,"QUEENS",11101,"15",1
4002990019,"QUEENS",11101,"15",1
4002990034,"QUEENS",11101,"15",4
4002990034,"QUEENS",11101,"16",1
4002990034,"QUEENS",11101,"17",1
4002990035,"QUEENS",11101,"16",1
4002990035,"QUEENS",11101,"18",2
4002990036,"QUEENS",11101,"15",4
4003010001,"QUEENS",11101,"21",1
4003020006,"QUEENS",11101,"15",1
4003020006,"QUEENS",11101,"16",2
4003020006,"QUEENS",11101,"21",2
4003040004,"QUEENS",11101,"15",1
4003040113,"QUEENS",11101,"16",1
