"BBL","Borough","Zip","Month","Year","count","Neighborhood"
3014180049,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3014190001,"BROOKLYN",11213,"12","2010",1,"CENTRAL BROOKLYN"
3014190039,"BROOKLYN",11213,"03","2010",2,"CENTRAL BROOKLYN"
3014230024,"BROOKLYN",11213,"01","2010",1,"CENTRAL BROOKLYN"
3014240026,"BROOKLYN",11213,"08","2010",1,"CENTRAL BROOKLYN"
3014320044,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014330035,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3014350027,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014360013,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014360013,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014390023,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014390041,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014460008,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3014460012,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014470012,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3014470034,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014470071,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3014500013,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3014500013,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3014510041,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014510041,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3014510046,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014510046,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3014510051,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014510069,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014520040,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014570005,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3014590055,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014590072,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3014610030,"BROOKLYN",11212,"12","2010",1,"CENTRAL BROOKLYN"
3014610124,"BROOKLYN",11212,"02","2010",1,"CENTRAL BROOKLYN"
3014610125,"BROOKLYN",11212,"04","2010",1,"CENTRAL BROOKLYN"
3014620010,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014620010,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3014640033,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014710049,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3014710052,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014710052,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3014730051,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3014740050,"BROOKLYN",11212,"11","2010",1,"CENTRAL BROOKLYN"
3014750011,"BROOKLYN",11233,"03","2010",3,"CENTRAL BROOKLYN"
3014750011,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3014750051,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014910040,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3014910040,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014930011,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3014930021,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3014930033,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3014970030,"BROOKLYN",11233,"06","2010",4,"CENTRAL BROOKLYN"
3014970030,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3014970062,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3014980025,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3014980048,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
